raw_venue,normalized_venue
2017 Asian Hardware Oriented Security and Trust Symposium (AsianHOST),Asian Hardware Oriented Security And Trust Symposium
Compressing IP/UDP/RTP Headers for Low-Speed Serial Links,Compressing Ip/Udp/Rtp Headers For Low-Speed Serial Links
JOURNAL OF THE OPERATIONS RESEARCH SOCIETY OF CHINA,Journal Of The Operations Research Society Of China
2018 IEEE 2nd International Conference on Fog and Edge Computing (ICFEC),Ieee International Conference On Fog And Edge Computing
Parallel Virtual Machine / Message Passing Interface,Parallel Virtual Machine / Message Passing Interface
AISI,Aisi
CMMR,Cmmr
STOC '08 Proceedings of the fortieth annual ACM symposium on Theory of computing,Stoc Proceedings Of The Forty-Fourth Annual Acm Symposium On Theory Of Computing
"PACLIC 20: PROCEEDINGS OF THE 20TH PACIFIC ASIA CONFERENCE ON LANGUAGE, INFORMATION AND COMPUTATION","Paclic : Proceedings Of The Pacific Asia Conference On Language, Information And Computation"
2014 IEEE INTELLIGENT VEHICLES SYMPOSIUM PROCEEDINGS,Ieee Intelligent Vehicles Symposium Proceedings
D-sptf: decentralized request distribution in brick-based storage systems,Sptf: Decentralized Request Distribution In Brick-Based Storage Systems
NSDI'16 Proceedings of the 13th Usenix Conference on Networked Systems Design and Implementation,Nsdiproceedings Of The Conference On Networked Systems Design And Implementation
2013 WORLD HAPTICS CONFERENCE (WHC),World Haptics Conference
Computer Technologies in Physical and Engineering Applications,Computer Technologies In Physical And Engineering Applications
Software Maintenance and Evolution,Software Maintenance And Evolution
NATO ASI RTC,Nato Asi Rtc
ICME'09 Proceedings of the 2009 IEEE international conference on Multimedia and Expo,Icmeproceedings Of The Ieee International Conference On Multimedia And Expo
2016 IEEE/WIC/ACM International Conference on Web Intelligence Workshops (WIW),Ieee/Wic/Acm International Conference On Web Intelligence Workshops
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,Ieee Transactions Control Systems Technology
Computer Networks,Computer Networks
MIRAGE,Mirage
IEEE Trans. Aerospace and Electronic Systems,Ieee Trans Aerospace And Electronic Systems
"Words, Semigroups, and Transductions","Words, Semigroups, And Transductions"
AGILE,Agile
Biometrics and Security Technologies,Biometrics And Security Technologies
MOBILE ROBOTICS-SOLUTIONS AND CHALLENGES,Mobile Robotics-Solutions And Challenges
Siam Journal on Numerical Analysis,Siam Journal On Numerical Analysis
pervasive computing technologies for healthcare,Pervasive Computing Technologies For Healthcare
IEEE/ACM Transactions on Networking,Ieee-Acm Transactions On Networking
"INTERSPEECH 2009: 10TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION 2009, VOLS 1-5","Interspeech : Annual Conference Of The International Speech Communication Association , Vols"
"Neural Networks, 1992. IJCNN., International Joint Conference","Neural Networks, Ijcnn International Joint Conference"
AAMAS (PhD),Aamas
RECENT TRENDS IN NETWORK SECURITY AND APPLICATIONS,Recent Trends In Network Security And Applications
TaPP'15 Proceedings of the 7th USENIX Conference on Theory and Practice of Provenance,Tappproceedings Of The Usenix Conference On Theory And Practice Of Provenance
Journal of Business Logistics,Journal Of Business Logistics
International Journal of Network Security,International Journal Of Network Security
IWCIA Special Track on Applications,Iwcia Special Track On Applications
ICSOFT (PL/DPS/KE/MUSE),Icsoft
DMCS,Dmcs
JOURNAL OF MEDICAL SYSTEMS,Journal Of Medical Systems
International Journal of Bioinformatics Research and Applications,International Journal Of Bioinformatics Research And Applications
Logic Journal of The Igpl \/ Bulletin of The Igpl,Logic Journal Of The Igpl / Bulletin Of The Igpl
"NEW ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1",Advances In Information Systems And Technologies
2019 9th International IEEE/EMBS Conference on Neural Engineering (NER),International Ieee/Embs Conference On Neural Engineering
Proceedings of the 8th symposium on Dynamic languages,Dls Proceedings Of The Symposium On Dynamic Languages
Classic Works of the Dempster-Shafer Theory of Belief Functions,Classic Works Of The Dempster-Shafer Theory Of Belief Functions
"Kaiserslautern, Germany","Kaiserslautern, Germany"
"Philadelphia, PA, USA","Philadelphia, Pa, Usa"
Zhongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Central South University (Science and Technology),Zhongnan Daxue Xuebao /Journal Of Central South University (Science And Technology
IWAN,Iwan
"Proceedings 2010 IEEE 5th International Conference on Bio-Inspired Computing: Theories and Applications, BIC-TA 2010","Proceedings Ieee International Conference On Bio-Inspired Computing: Theories And Applications, Bic-Ta"
International Journal of Artificial Intelligence and Knowledge Discovery,International Journal Of Artificial Intelligence And Knowledge Discovery
2015 IEEE 1st International Forum on Research and Technologies for Society and Industry Leveraging a better tomorrow (RTSI),Ieee International Forum On Research And Technologies For Society And Industry Leveraging A Better Tomorrow
Proceedings of the 6th ACM international conference on Image and video retrieval,Proceedings Of The Acm International Conference On Image And Video Retrieval
Proceedings of the Ninth International Workshop on Information Integration on the Web,Proceedings Of The Ninth International Workshop On Information Integration On The Web
Journal of Global Optimization,Journal Of Global Optimization
Scene Determination based on Video and Audio Features,Scene Determination Based On Video And Audio Features
biologically inspired cognitive architectures,Biologically Inspired Cognitive Architectures
IEEE Transactions on Information Forensics and Security,Ieee Transactions On Information Forensics And Security
2015 ACM/IEEE 18th International Conference on Model Driven Engineering Languages and Systems (MODELS),International Conference On Model Driven Engineering Languages And Systems
"IIKI '14 Proceedings of the 2014 International Conference on Identification, Information and Knowledge in the Internet of Things","Iiki Proceedings Of The International Conference On Identification, Information And Knowledge In The Internet Of Things"
MAVEBA,Maveba
Quantum Information Processing with Finite Resources: Mathematical Foundations,Quantum Information Processing With Finite Resources: Mathematical Foundations
international workshop on research issues in data engineering,International Workshop On Research Issues In Data Engineering
2015 Seventh International Conference on Knowledge and Systems Engineering (KSE),International Conference On Knowledge And Systems Engineering
Computer Architecture and High Performance Computing Workshops,Computer Architecture And High Performance Computing Workshop
IEEE INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS (ICCE 2011),Ieee International Conference On Consumer Electronics
"Circuits and Systems I: Fundamental Theory and Applications, IEEE Transactions","Circuits And Systems : Fundamental Theory And Applications, Ieee Transactions"
2019 IEEE 25th International Conference on Embedded and Real-Time Computing Systems and Applications (RTCSA),Ieee International Conference On Embedded And Real-Time Computing Systems And Applications
"IEEE INTERNATIONAL CONFERENCE ON APPLICATION-SPECIFIC SYSTEMS, ARCHITECTURES, AND PROCESSORS, PROCEEDINGS","Ieee International Conference On Application-Specific Systems, Architectures, And Processors, Proceedings"
Proceedings of the 1st International Conference on Supercomputing,Proceedings Of The International Conference On Supercomputing
ICC 2019 - 2019 IEEE International Conference on Communications (ICC),Ieee International Conference On Communications
Top-k ranking with uncertain data,Top-K Ranking With Uncertain Data
Meta-programming in logic programming,Meta-Programming In Logic Programming
Bioinformatics/computer Applications in The Biosciences,Bioinformatics/Computer Applications In The Biosciences
ICCVW '13 Proceedings of the 2013 IEEE International Conference on Computer Vision Workshops,Iccvw Proceedings Of The Ieee International Conference On Computer Vision Workshop
2013 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS (IROS),Ieee/Rsj International Conference On Intelligent Robots And Systems
Handbook of logic in computer science,Handbook Of Logic In Computer Science
"Lecture Notes of the Institute for Computer Sciences, Social Informatics, and Telecommunications Engineering","Lecture Notes Of The Institute For Computer Sciences, Social-Informatics And Telecommunications Engineering"
ONCOTARGET,Oncotarget
Green Computing Communication and Electrical Engineering,Green Computing Communication And Electrical Engineering
Automatic text classification using a multi-agent framework,Automatic Text Classification Using A Multi-Agent Framework
STOCHASTICS AND DYNAMICS,Stochastics And Dynamics
Smart Sensing and Context,Smart Sensing And Context
NeuroImage,Neuroimage
CPRT '94 Proceedings of the conference on Chromatic polynomials and related topics,Cprt Proceedings Of The Conference On Chromatic Polynomials And Related Topics
Dynamics and Control,Dynamics And Control
Journal of Computational Information Systems,Journal Of Computational Information Systems
LCN '98 Proceedings of the 23rd Annual IEEE Conference on Local Computer Networks,Lcn Proceedings Of The Annual Ieee Conference On Local Computer Networks
Proceedings of the fourth working conference on smart card research and advanced applications on Smart card research and advanced applications,Proceedings Of The Fourth Working Conference On Smart Card Research And Advanced Applications On Smart Card Research And Advanced Applications
"Signal Processing Proceedings, 2000. WCCC-ICSP 2000. 5th International Conference","Signal Processing Proceedings, Wccc-Icsp International Conference"
Large-Scale Optimization of Eigenvalues,Large-Scale Optimization Of Eigenvalues
SETA,Seta
Proceedings of the 17th International Conference on Evaluation and Assessment in Software Engineering,Proceedings Of The International Conference On Evaluation And Assessment In Software Engineering
"INTERNATIONAL CONFERENCE ON IMAGE PROCESSING - PROCEEDINGS, VOL I",International Conference On Image Processing - Proceedings
EWSL,Ewsl
wireless network security,Wireless Network Security
COMPUTATIONAL STATISTICS,Computational Statistics
Z Users Conference,Z Users Conference
Programs as Data Objects,On Programs As Data Objects
COMMUNICATION AND NETWORKING,Communications And Networking
ESEC,Esec
LIMITS,Limits
2015 INTERNATIONAL SYMPOSIUM ON NETWORK CODING (NETCOD),International Symposium On Network Coding
"Cloud Computing, IEEE Transactions","Cloud Computing, Ieee Transactions"
Services Computing,Services Computing
"2019 IEEE International Symposium on Haptic, Audio and Visual Environments and Games (HAVE)","Ieee International Symposium On Haptic, Audio And Visual Environments And Games"
2019 45th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),Euromicro Conference On Software Engineering And Advanced Applications
Workshop on Workstation Operating Systems (now HotOS)/Workshop on Hot Topics in Operating Systems,Workshop On Workstation Operating Systems /Workshop On Hot Topics In Operating Systems
international conference on web-based learning,International Conference On Web-Based Learning
"MDM), 2013 IEEE 14th International Conference","Mdm), Ieee International Conference"
IEEE MULTIMEDIA,Ieee Multimedia
AI for Data Center Management and Cloud Computing,Ai For Data Center Management And Cloud Computing
ICEE,Icee
"Proceedings - 2006 International Conference on Intelligent Information Hiding and Multimedia Signal Processing, IIH-MSP 2006","Proceedings - International Conference On Intelligent Information Hiding And Multimedia Signal Processing, Iihmsp"
Robotica,Robotica
"Princeton, NJ","Princeton, Nj"
JOURNAL OF APPLIED REMOTE SENSING,Journal Of Applied Remote Sensing
Secure Software Integration and Reliability Improvement,Secure Software Integration And Reliability Improvement
TOOLS (28),Tools
2019 IEEE International Conference on Software Architecture Companion (ICSA-C),Ieee International Conference On Software Architecture Companion
International Workshop on Visual Form,International Workshop On Visual Form
"New Orleans, LA, USA","New Orleans, La, Usa"
"EP '98/RIDT '98 Proceedings of the 7th International Conference on Electronic Publishing, Held Jointly with the 4th International Conference on Raster Imaging and Digital Typography: Electronic Publishing, Artistic Imaging, and Digital Typography","Ep /Ridt Proceedings Of The International Conference On Electronic Publishing, Held Jointly With The International Conference On Raster Imaging And Digital Typography: Electronic Publishing, Artistic Imaging, And Digital Typography"
Intelligent Multimedia Data Hiding: New Directions,Intelligent Multimedia Data Hiding: New Directions
Intelligent Narrative Technologies,Intelligent Narrative Technologies
ICCC 2005: IEEE 3RD INTERNATIONAL CONFERENCE ON COMPUTATIONAL CYBERNETICS,Iccc : Ieee International Conference On Computational Cybernetics
SIGARCH,Sigarch
AGENT-MEDIATED ELECTRONIC COMMERCE V: DESIGNING MECHANISMS AND SYSTEMS,Agent-Mediated Electronic Commerce : Designing Mechanisms And Systems
IJOM,Ijom
Discrete Mathematics - Special issue on Selected Topics in Discrete Mathematics conferences,Discrete Mathematics - Special On Selected Topics In Discrete Mathematics Conferences
IEEE TRANSACTIONS ON ACOUSTICS SPEECH AND SIGNAL PROCESSING,"Ieee Transactions On Acoustics, Speech, And Signal Processing"
PROCEEDINGS OF THE ASIST ANNUAL MEETING,Proceedings Of The Asist Annual Meeting
IEEE signal processing letters,Ieee Signal Processing Letters
MLIS@ICML,Mlis@Icml
"Future Energy Systems: Where Energy, Computing and Communication Meet","Future Energy Systems: Where Energy, Computing And Communication Meet"
"SCC '12 Proceedings of the 2012 SC Companion: High Performance Computing, Networking Storage and Analysis","Scc Proceedings Of The Sc Companion: High Performance Computing, Networking Storage And Analysis"
Random Testing,Random Testing
NEW REVIEW OF HYPERMEDIA AND MULTIMEDIA,The New Review Of Hypermedia And Multimedia
2016 IEEE 84TH VEHICULAR TECHNOLOGY CONFERENCE (VTC FALL),Ieee Vehicular Technology Conference
WebMine,Webmine
Proceedings of the 2003 ACM symposium on Applied computing,Proceedings Of The Acm Symposium On Applied Computing
Information Processing and Management: an International Journal - Special issue on hypertext and information retrieval,Information Processing And Management: An International Journal - Special On Hypertext And Information Retrieval
SIGPLAN '82 Proceedings of the 1982 SIGPLAN symposium on Compiler construction,Sigplan Proceedings Of The Sigplan Symposium On Compiler Construction
ScalCom-EmbeddedCom,Scalcom-Embeddedcom
Signal Processing - Signal processing with heavy-tailed models,Signal Processing - Signal Processing With Heavy-Tailed Models
"2005 INTERNATIONAL SYMPOSIUM ON EMPIRICAL SOFTWARE ENGINEERING (ISESE), PROCEEDINGS","International Symposium On Empirical Software Engineering , Proceedings"
2016 IEEE 19th International Symposium on Real-Time Distributed Computing (ISORC),Ieee International Symposium On Real-Time Distributed Computing
"2017 MIXDES - 24th International Conference ""Mixed Design of Integrated Circuits and Systems",International Conference Mixed Design Of Integrated Circuits And Systems
INTERACT (1),Interact
IJCRS,Ijcrs
Sideways@HT,Sideways@Ht
"Proceedings of the International Conference on Advances in Computing, Communication and Control","Proceedings Of The International Conference On Advances In Computing, Communication And Control"
Symposium on Asynchronous Circuits and Systems,Symposium On Asynchronous Circuits And Systems
"Information Systems - Special issue: Databases:8Mtheir creation, management and utilization","Information Systems - Special : Databases:8Mtheir Creation, Management And Utilization"
BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,Bulletin Of The Belgian Mathematical Society-Simon Stevin
SE4SG,Se4Sg
Proceedings of the 15th Conference on Foundations of Software Technology and Theoretical Computer Science,Fst Tcs Proceedings Of The Conference Kanpur On Foundations Of Software Technology And Theoretical Computer Science
"Cairns, Qld.","Cairns, Qld"
RuSCDays,Ruscdays
2017 Global Internet of Things Summit (GIoTS),Global Internet Of Things Summit
International Workshop on Formal Approaches to Testing of Software,International Workshop On Formal Approaches To Testing Of Software
Dianji yu Kongzhi Xuebao/Electric Machines and Control,Dianji Yu Kongzhi Xuebao/Electric Machines And Control
International Symposium on Circuits and Systems,Ieee International Symposium On Circuits And Systems
ArtsIT/DLI,Artsit
2014 1ST INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES FOR SIGNAL AND IMAGE PROCESSING (ATSIP 2014),International Conference On Advanced Technologies For Signal And Image Processing
"International Journal of Remote Sensing - Spatial Information Retrieval, Analysis, Reasoning and Modelling","International Journal Of Remote Sensing - Spatial Information Retrieval, Analysis, Reasoning And Modelling"
"symposium on languages, applications and technologies","Symposium On Languages, Applications And Technologies"
UCNC,Ucnc
Combining Modelling and Search-Based Software Engineering,Combining Modelling And Search-Based Software Engineering
"2017 Internet of Things Business Models, Users, and Networks","Internet Of Things Business Models, Users, And Networks"
"Sao Carlos, Brazil","Sao Carlos, Brazil"
State of the Art in Applied Cryptography,State Of The Art In Applied Cryptography
SYNASC,Synasc
IEEE Transactions Control of Network Systems,Ieee Transactions On Control Of Network Systems
2017 IEEE 23rd International Symposium on On-Line Testing and Robust System Design (IOLTS),Ieee International Symposium On On-Line Testing And Robust System Design
GREE,Gree
Geospatial Semantics and the Semantic Web,Geospatial Semantics And The Semantic Web
CRITICAL INFRASTRUCTURE PROTECTION VII,Critical Infrastructure Protection
computer science and its applications,Computer Science And Its Applications
Proceedings of the 26th ACM symposium on Parallelism in algorithms and architectures,Spaa: Proceedings Of The Acm Symposium On Parallelism In Algorithms And Architecturess
"Advanced Communication Technology, 2008. ICACT 2008. 10th International Conference","Advanced Communication Technology, The International Conference"
Computer Knowledge and Technology,Computer Knowledge And Technology
Symposium on VLSI Technology-Digest of Technical Papers,Symposium On Vlsi Technology-Digest Of Technical Papers
"SUI '17: Symposium on Spatial User Interaction
		      Brighton
		      United Kingdom
		    October, 2017",Sui : Symposium On Spatial User Interaction Brighton United Kingdom October
INTERNATIONAL JOURNAL OF WEB AND GRID SERVICES,International Journal Of Web And Grid Services
Intelligent Solutions in Embedded Systems,Intelligent Solutions In Embedded Systems
Big-DAMA@SIGCOMM,Big-Dama@Sigcomm
HPPN@HPDC,Hppn@Hpdc
NEW TRENDS IN DATABASE AND INFORMATION SYSTEMS II,New Trends In Database And Information Systems
"WEB TECHNOLOGIES AND APPLICATIONS, APWEB 2014","Web Technologies And Applications, Apweb , Pt"
ISSTA,Issta
PROCEEDINGS OF THE 3RD INTERNATIONAL WORKSHOP ON ADVANCED INTERCONNECT SOLUTIONS AND TECHNOLOGIES FOR EMERGING COMPUTING SYSTEMS (AISTECS),Proceedings Of The International Workshop On Advanced Interconnect Solutions And Technologies For Emerging Computing Systems
"Journal of VLSI Signal Processing Systems for Signal, Image, and Video Technology","The Journal Of Vlsi Signal Processing Systems For Signal, Image, And Video Technology"
Proceedings of the 2018 Artificial Intelligence and Cloud Computing Conference,Proceedings Of The Artificial Intelligence And Cloud Computing Conference
25 Years of Model Checking,Years Of Model Checking
Spatial Cognition: Specialization and Integration,Spatial Cognition: Specialization And Integration
USER@ICSE,User@Icse
Advances in Imaging and Electron Physics,Advances In Imaging And Electron Physics
ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 8: PROCEEDINGS OF THE 1995 CONFERENCE,Advances In Neural Information Processing Systems - Proceedings Of The Conference
CURRENT APPROACHES IN APPLIED ARTIFICIAL INTELLIGENCE,Current Approaches In Applied Artificial Intelligence
CSET @ USENIX Security Symposium,Ase @ Usenix Security Symposium
JOURNAL OF FRACTAL GEOMETRY,Journal Of Fractal Geometry
PROCEEDINGS OF THE 1ST INTERNATIONAL CONFERENCE ON INTERNET OF THINGS AND MACHINE LEARNING (IML'17),Proceedings Of The International Conference On Internet Of Things And Machine Learning
AutoID,Autoid
Huangshan,Huangshan
"PIC), 2010 IEEE International Conference","Pic), Ieee International Conference"
2016 IEEE Working Conference on Software Visualization (VISSOFT),Ieee Working Conference On Software Visualization
"Discrete Mathematics - The 2000 Com2MaC conference on association schemes, codes and designs","Discrete Mathematics - The Com2Mac Conference On Association Schemes, Codes And Designs"
"CONSTRUCTIVE SIDE-CHANNEL ANALYSIS AND SECURE DESIGN, COSADE 2015","Constructive Side-Channel Analysis And Secure Design, Cosade"
"SODA '11: 22nd ACM-SIAM Symposium on Discrete Algorithms
		      San Francisco
		      California
		    January, 2011",Soda08: Acm-Siam Symposium On Discrete Algorithms San Francisco California January
AIMS,Aims
Digital photography,Digital Photography
IEEE INFOCOM 2019 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),Ieee Infocom - Ieee Conference On Computer Communications Workshops
joint pattern recognition symposium,Joint Pattern Recognition Symposium
Natanya,Natanya
"Parallel & Distributed Technology: Systems & Applications, IEEE","Parallel And Distributed Technology: Systems And Applications, Ieee"
ICINCO (1),Icinco
Database Systems for Advanced Applications,"Database Systems For Advanced Applications, Pt"
2017 OPTICAL FIBER COMMUNICATIONS CONFERENCE AND EXHIBITION (OFC),Optical Fiber Communications Conference And Exhibition
Homo Oeconomicus,Homo Oeconomicus
CSIE (5),Csie
CCGrid,Ccgrid
Int. J. Satellite Communications Networking,Int J Satellite Communications Networking
PROCEEDINGS OF THE SUMMER 1992 USENIX CONFERENCE,Proceedings Of The Summer Usenix Conference
"Optical Fiber Communication Conference, 1999, and the International Conference Integrated Optics and Optical Fiber Communication. OFC/IOOC '99. Technical Digest","Optical Fiber Communication Conference, , And The International Conference Integrated Optics And Optical Fiber Communication Ofc/Iooc Technical Digest"
Engineering Science and Education Journal,Engineering Science And Education Journal
Journal of Financial Stability,Journal Of Financial Stability
Finding the convex hull of a simple polygon,Finding The Convex Hull Of A Simple Polygon
IEEE JOURNAL OF THE ELECTRON DEVICES SOCIETY,Ieee Journal Of The Electron Devices Society
INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIAL INTELLIGENCE,International Journal Of Interactive Multimedia And Artificial Intelligence
world of wireless mobile and multimedia networks,"A World Of Wireless, Mobile And Multimedia Networks"
ICNC (2),Icnc
SIGGRAPH ASIA Symposium on Education: Talks,Siggraph Asia Symposium On Education: Talks
computing and combinatorics conference,Computing And Combinatorics Conference
Springer Proceedings in Complexity,Springer Proceedings In Complexity
health information science,Health Information Science
Journal of High Speed Networks - Special issue: wireless networks,Journal Of High Speed Networks - Special : Wireless Networks
Advances in Intelligent Systems and Computing,Advances In Intelligent Systems And Computing
Proceedings of the 24th International Conference on Software Engineering,Icse Proceedings Of The International Conference On Software Engineering
MoDELS'05 Proceedings of the 8th international conference on Model Driven Engineering Languages and Systems,Models Proceedings Of The International Conference On Model Driven Engineering Languages And Systems
RecSys Challenge,Recsys Challenge
designing interactive systems,Designing Interactive Systems
Xian,Xian
performance evaluation of wireless ad hoc sensor and ubiquitous networks,"Performance Evaluation Of Wireless Ad Hoc, Sensor, And Ubiquitous Networks"
PROCEEDINGS OF THE 2019 ACM ASIA CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY (ASIACCS '19),Ccs Proceedings Of The Acm Conference On Computer And Communications Security
Journal of Rehabilitation Research and Development,Journal Of Rehabilitation Research And Development
Evaluation of Novel Approaches to Software Engineering,Evaluation Of Novel Approaches To Software Engineering
CONCURRENT ENGINEERING: ENHANCED INTEROPERABLE SYSTEMS,Concurrent Engineering: Enhanced Interoperable Systems
Processing and Management of Uncertainty in Knowledge-Based Systems on Uncertainty in knowledge-based systems. International Conference on Information,Processing And Management Of Uncertainty In Knowledge-Based Systems On Uncertainty In Knowledge-Based Systems International Conference On Information
"Applied Numerical Mathematics - Applied and computational mathematics: Selected papers of the third panamerican workshop Trujillo, Peru, 24-28 April 2000","Applied Numerical Mathematics - Applied And Computational Mathematics: Selected Papers Of The Third Panamerican Workshop Trujillo, Peru, -April"
"2016 17th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing (SNPD)","Ieee/Acis International Conference On Software Engineering, Artificial Intelligence, Networking And Parallel/Distributed Computing"
Proceedings of the 23rd Pan-Hellenic Conference on Informatics,Proceedings Of The Pan-Hellenic Conference On Informatics
AAAI Spring Symposium - Combining Machine Learning with Knowledge Engineering,Aaai Spring Symposium - Combining Machine Learning With Knowledge Engineering
ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY: PROCEEDINGS,"Algebraic Methodology And Software Technology, Proceedings"
Fortaleza,Fortaleza
"Napa Valley, CA","Napa Valley, Ca"
"Chengdu, China","Chengdu, China"
2013 IEEE INTERNATIONAL SYMPOSIUM ON HARDWARE-ORIENTED SECURITY AND TRUST (HOST),Ieee International Symposium On Hardware Oriented Security And Trust
Advances in Systems Science and Applications,Advances In Systems Science And Applications
ICCHP '94 Proceedings of the 4th international conference on Computers for handicapped persons,Icchp Proceedings Of The International Conference On Computers For Handicapped Persons
"COMPUTER VISION - ACCV 2016, PT V","Computer Vision - Eccv , Pt"
VERIFY,Verify
ICNP '04 Proceedings of the 12th IEEE International Conference on Network Protocols,Icnp Proceedings Of The Ieee International Conference On Network Protocols
2016 IEEE 30TH INTERNATIONAL PARALLEL AND DISTRIBUTED PROCESSING SYMPOSIUM WORKSHOPS (IPDPSW),Ieee International Parallel And Distributed Processing Symposium Workshops
2017 9th International Conference on Wireless Communications and Signal Processing (WCSP),International Conference On Telecommunications And Signal Processing
"COMPUTER VISION - ECCV 2014 WORKSHOPS, PT II","Computer Vision - Eccv Workshops, Pt"
EUSFLAT-ESTYLF Joint Conf.,Eusflat-Estylf Joint Conf
Usability and Accessibility Focused Requirements Engineering,Usability And Accessibility Focused Requirements Engineering
Journal of Natural Gas Science and Engineering,Journal Of Natural Gas Science And Engineering
COMPUTER ANIMATION AND VIRTUAL WORLDS,Computer Animation And Virtual Worlds
Dependable Systems and Networks Workshops,Dependable Systems And Networks Workshops
PROCEEDINGS OF THE SECOND INTERNATIONAL CONFERENCE ON ADVANCES IN P2P SYSTEMS (AP2PS 2010),Proceedings Of The Second International Conference On Advances In P2P Systems
cellular automata for research and industry,Cellular Automata For Research And Industry
"2017 8th IEEE Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","Ieee Annual Information Technology, Electronics And Mobile Communication Conference"
JAISE,Jaise
CIVVS,Civvs
JOURNAL OF MEDICAL INTERNET RESEARCH,Journal Of Medical Internet Research
Kolkata,Kolkata
"2011 8th Workshop on Positioning, Navigation and Communication","Workshop On Positioning, Navigation And Communications"
"Enabling Technologies: Infrastructure for Collaborative Enterprises, 1999.",Enabling Technologies: Infrastructures For Collaborative Enterprises
Trust in Agent Societies,Trust In Agent Societies
"JOINT UWBST & IWUWBS 2004, CONFERENCE PROCEEDINGS","Joint Uwbst And Iwuwbs , Conference Proceedings"
PUBLIC KEY CRYPTOGRAPHY - PKC 2012,Public Key Cryptography - Pkc
IPTPS,Iptps
arXiv: Digital Libraries,Arxiv: Digital Libraries
2018 4th International Conference on Big Data Computing and Communications (BIGCOM),International Conference On Big Data Computing And Communications
Emergent neural computational architectures based on neuroscience,Emergent Neural Computational Architectures Based On Neuroscience
CICAC,Cicac
Proceedings of the Doctoral Symposium of the 16th International Middleware Conference,Proceedings Of The Doctoral Symposium Of The International Middleware Conference
SIGHAN,Sighan
Conference on Designing Interactive Systems,Conference On Designing Interactive Systems
EuCNC,Eucnc
"ADVANCES IN ARTIFICIAL LIFE, EVOLUTIONARY COMPUTATION, AND SYSTEMS CHEMISTRY, WIVACE 2016","Advances In Artificial Life, Evolutionary Computation And Systems Chemistry"
"Baltimore, MD",Baltimore
"Robotics, Automation and Mechatronics, 2004 IEEE Conference","Robotics, Automation And Mechatronics, Ieee Conference"
Electron Devices Meeting,Electron Devices Meeting
GIGASCIENCE,Gigascience
ECEH,Eceh
2016 IEEE International Conference on Autonomic Computing (ICAC),Ieee International Conference On Autonomic Computing
REFSQ Workshops,Refsq Workshops
Proactive instruction fetch,Proactive Instruction Fetch
IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS,Ieee Journal Of Biomedical And Health Informatics
HLT-NAACL (Student Research Workshop),Hlt-Naacl (Student Research Workshop
2013 INTERNATIONAL CONFERENCE ORIENTAL COCOSDA HELD JOINTLY WITH 2013 CONFERENCE ON ASIAN SPOKEN LANGUAGE RESEARCH AND EVALUATION (O-COCOSDA/CASLRE),International Conference Oriental Cocosda Held Jointly With Conference On Asian Spoken Language Research And Evaluation (O-Cocosda/Caslre
"Antennas and Propagation, IEEE Transactions","Antennas And Propagation, Ieee Transactions"
COSIT '99 Proceedings of the International Conference on Spatial Information Theory: Cognitive and Computational Foundations of Geographic Information Science,Cosit Proceedings Of The International Conference On Spatial Information Theory: Cognitive And Computational Foundations Of Geographic Information Science
Earth Science Informatics,Earth Science Informatics
DFT '05 Proceedings of the 20th IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,Dft Proceedings Of The Ieee International Symposium On Defect And Fault Tolerance In Vlsi Systems
AfriCHI,Africhi
Horizons of Parallel Computation,Horizons Of Parallel Computation
EVIA@NTCIR,Evia@Ntcir
ICETE (2),Icete
"Personal, Indoor and Mobile Radio Communications, 1996. PIMRC'96., Seventh IEEE International Symposium","Personal, Indoor And Mobile Radio Communications, Pimrc, Seventh Ieee International Symposium"
2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),Ieee International Conference On Software Maintenance And Evolution
Algebraic Foundations in Computer Science,Algebraic Foundations In Computer Science
"Proceedings - 16th International Conference on Artificial Reality and Telexistence - Workshops, ICAT 2006","Proceedings - International Conference On Artificial Reality And Telexistence - Workshops, Icat"
"ADVANCES IN COMPUTERS, VOL 67: WEB TECHNOLOGY","Advances In Computers, : Web Technology"
